Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:1142d11b-7feb-4ee1-9507-8feeb4c78f38,Madrid,1205676.0,Clear Channel Spain,['retail.malls'],404.796.462,-37.066.047,ES
28029,"Av. de Monforte de Lemos, 36 Loc.B, 121, 28029 Madrid, Spain",broadsign.com:201661806,Madrid,72256.5,Clear Channel Spain,['retail.malls'],404.796.783,-3.706.729,ES
28029,"Av. de Monforte de Lemos, 36 Loc.B, 121, 28029 Madrid, Spain",com.broadsign:df9c7d87-c6e7-4a29-bd6e-6417abe5b1f2,Madrid,722353.5,Clear Channel Spain,['retail.malls'],404.796.783,-3.706.729,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:fd146f8a-5c1f-4d91-b796-36ed41ff3176,Madrid,2148516.0,Clear Channel Spain,['retail.malls'],404.796.462,-37.066.047,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:186905052,Madrid,214911.0,Clear Channel Spain,['retail.malls'],404.796.462,-37.066.047,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:202945151,Madrid,29578.5,Clear Channel Spain,['retail.malls'],404.796.462,-37.066.047,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:f67ded1d-438a-461c-bd61-9b35c2b9dd2b,Madrid,295704.0,Clear Channel Spain,['retail.malls'],404.796.462,-37.066.047,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",com.broadsign:0c8845df-5769-4f0f-87ba-09d0d03a72d3,Madrid,1553377.5,Clear Channel Spain,['retail.malls'],404.797.242,-3.707.707,ES
28029,"Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",broadsign.com:199710144,Madrid,155380.5,Clear Channel Spain,['retail.malls'],404.797.242,-3.707.707,ES
28029,"Av. de Monforte de Lemos, 36, Local A-83, 28029 Madrid, Spain",broadsign.com:186905154,Madrid,29601.0,Clear Channel Spain,['retail.malls'],404.796.933,-37.067.618,ES
