Zipcode,Frame id,Full address,Name,City,Monthly impressions,Publisher,Type,Subtype,Venue types,SSP,Media,Screen,Latitude,Longitude,Administrative level 1,Administrative level 2,Country,Frame resolution,Min duration,Max duration
29002,com.broadsign:59d91f62-fde1-47cf-960e-7b60d832a311,"Avda. de Andalucía - Rotonda, 29002 Málaga, Spain",MLG 035_601 29 067 060971 B_105793,Málaga,495621.0,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.716.763,-4.430.534,AN,MA,ES,1080x1920,10.0,10.0
29007,broadsign.com:854067376,"Avda. de Andalucía - Hacienda, 29007 Málaga, Spain",MLG 069_601 29 067 060903 A_108088,Málaga,177349.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.716.938,-4.426.754,AN,MA,ES,1080x1920,10.0,10.0
29007,com.broadsign:07882986-be26-4487-86b3-8355a9f555a6,"Avda. de Andalucía - Hacienda, 29007 Málaga, Spain",MLG 069_601 29 067 060903 A_108088,Málaga,1773004.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.716.938,-4.426.754,AN,MA,ES,1080x1920,10.0,10.0
29007,com.broadsign:670868c6-982f-4399-9711-61b6b6fc7b69,"Avda. de Andalucía - Hacienda, 29007 Málaga, Spain",MLG 069_601 29 067 060903 B_108089,Málaga,2510397.0,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.716.938,-4.426.754,AN,MA,ES,1080x1920,10.0,10.0
29007,com.broadsign:91bd15d6-37b5-4668-b4b5-34891e07c7fa,"Avda. de Andalucía - Rotonda, 29007 Málaga, Spain",MLG 034_601 29 067 060962 B_105794,Málaga,4586913.0,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.717.059,-4.430.713,AN,MA,ES,1080x1920,10.0,10.0
29007,broadsign.com:822908269,"Avda. de Andalucía - Rotonda, 29007 Málaga, Spain",MLG 034_601 29 067 060962 B_105794,Málaga,458815.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.717.059,-4.430.713,AN,MA,ES,1080x1920,10.0,10.0
29015,broadsign.com:716529297,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 015_601 29 067 061721 A_104441,Málaga,61969.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.538,-4.419.026,AN,MA,ES,1080x1920,10.0,10.0
29015,com.broadsign:27edc8c5-d1cf-4bfb-96ef-62f7fc84d4ef,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 016_601 29 067 061721 B_104442,Málaga,893880.0,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.538,-4.419.026,AN,MA,ES,1080x1920,10.0,10.0
29015,com.broadsign:96e7460e-8ce9-4272-ab2d-41bcd94ff449,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 015_601 29 067 061721 A_104441,Málaga,619524.0,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.538,-4.419.026,AN,MA,ES,1080x1920,10.0,10.0
29015,broadsign.com:716615342,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 016_601 29 067 061721 B_104442,Málaga,89410.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.538,-4.419.026,AN,MA,ES,1080x1920,10.0,10.0
29015,broadsign.com:716553569,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 011_601 29 067 061673 A_104437,Málaga,44055.0,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.607,-4.418.791,AN,MA,ES,1080x1920,10.0,10.0
29015,broadsign.com:716557500,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 012_601 29 067 061673 B_104438,Málaga,65520.0,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.607,-4.418.791,AN,MA,ES,1080x1920,10.0,10.0
29015,com.broadsign:140594c4-2b9f-47fd-91ad-1ed59f1d87b6,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 012_601 29 067 061673 B_104438,Málaga,654997.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.607,-4.418.791,AN,MA,ES,1080x1920,10.0,10.0
29015,com.broadsign:baa40542-3c76-45b0-862a-cccbedb44a0c,"Paseo del Parque - Plaza de la Marina, 29015 Málaga, Spain",MLG 011_601 29 067 061673 A_104437,Málaga,440437.5,Clear Channel Spain,broadsign player,,['outdoor.bus_shelters'],Broadsign,digital,1,36.718.607,-4.418.791,AN,MA,ES,1080x1920,10.0,10.0
